,u,v,w,x,y,z
31,-0.6738,1.6793,-0.001017,119.87,17.5,-0.002
32,-0.36322,2.0299,-0.001017,121.48,17.5,-0.002
33,-0.6738,2.7309,-0.001017,123.08,17.5,-0.002
34,-1.295,2.7309,-0.001017,124.68,17.5,-0.002
35,-2.2267,2.7309,-0.001017,126.29,17.5,-0.002
36,-2.8479,2.3804,-0.001017,127.89,17.5,-0.002
37,-2.2267,0.97833,-0.001017,129.49,17.5,-0.002
38,-0.6738,0.62783,-0.001017,131.09,17.5,-0.002
39,-0.6738,0.62783,-0.001017,132.7,17.5,-0.002
40,0.25794,0.97833,-0.001017,134.3,17.5,-0.002
41,-2.8479,-0.073181,-0.070537,70.188,17.5,1.141
42,-2.5373,-0.073181,-0.024191,71.791,17.5,1.141
43,-2.5373,-0.073181,-0.024191,73.393,17.5,1.141
44,-2.5373,-0.42369,-0.024191,74.996,17.5,1.141
45,-2.8479,-0.42369,-0.024191,76.599,17.5,1.141
46,-2.8479,-0.42369,-0.024191,78.202,17.5,1.141
47,-2.8479,-0.77419,-0.024191,79.805,17.5,1.141
48,-2.8479,-1.1247,-0.024191,81.407,17.5,1.141
49,-2.8479,-1.4752,-0.024191,83.01,17.5,1.141
50,-2.8479,-1.1247,-0.024191,84.613,17.5,1.141
51,-2.8479,-0.42369,-0.001017,86.216,17.5,1.141
52,-2.8479,-0.42369,-0.001017,87.819,17.5,1.141
53,-2.8479,-0.77419,0.010569,89.421,17.5,1.141
54,-2.8479,-1.1247,-0.001017,91.024,17.5,1.141
55,-2.5373,-1.8257,-0.024191,92.627,17.5,1.141
56,-1.6055,-2.1762,-0.024191,94.23,17.5,1.141
57,-0.98438,-2.1762,-0.024191,95.833,17.5,1.141
58,0.56851,-3.2277,-0.012604,97.435,17.5,1.141
59,1.1897,-3.5782,-0.012604,99.038,17.5,1.141
60,0.56851,-3.2277,-0.012604,100.64,17.5,1.141
61,0.25794,-1.8257,-0.035777,102.24,17.5,1.141
62,-0.6738,-2.5267,-0.047364,103.85,17.5,1.141
63,-0.98438,-2.5267,-0.001017,105.45,17.5,1.141
64,-2.8479,-1.8257,-0.001017,107.05,17.5,1.141
65,-2.8479,-3.5782,-0.035777,108.66,17.5,1.141
66,-2.5373,-2.5267,-0.047364,110.26,17.5,1.141
67,-2.5373,-2.5267,-0.024191,111.86,17.5,1.141
68,-2.2267,-2.5267,-0.012604,113.46,17.5,1.141
69,-1.6055,-2.5267,-0.012604,115.07,17.5,1.141
70,-2.2267,-2.1762,-0.012604,116.67,17.5,1.141
71,-2.5373,-1.4752,-0.001017,118.27,17.5,1.141
72,-2.2267,-0.77419,0.033743,119.87,17.5,1.141
73,-1.6055,0.27732,0.056916,121.48,17.5,1.141
74,-1.6055,0.62783,0.10326,123.08,17.5,1.141
75,-2.2267,0.97834,0.13802,124.68,17.5,1.141
76,-2.5373,0.62783,0.11485,126.29,17.5,1.141
77,-2.5373,0.97834,0.045329,127.89,17.5,1.141
78,-2.2267,0.97834,-0.024191,129.49,17.5,1.141
79,-1.295,0.97834,-0.024191,131.09,17.5,1.141
80,-1.295,0.62783,-0.012604,132.7,17.5,1.141
81,-1.295,0.97834,0.056916,134.3,17.5,1.141
82,-5.6431,-0.073181,-0.17482,70.188,17.5,2.284
83,-5.0219,-0.42369,-0.047364,71.791,17.5,2.284
84,-4.7113,-0.42369,-0.047364,73.393,17.5,2.284
85,-4.7113,-0.77419,-0.047364,74.996,17.5,2.284
86,-4.7113,-0.42369,-0.047364,76.599,17.5,2.284
87,-4.7113,-0.42369,-0.047364,78.202,17.5,2.284
88,-4.4008,-0.77419,-0.047364,79.805,17.5,2.284
89,-4.4008,-1.1247,-0.058951,81.407,17.5,2.284
90,-4.4008,-1.4752,-0.058951,83.01,17.5,2.284
91,-4.4008,-1.4752,-0.035777,84.613,17.5,2.284
92,-4.4008,-1.1247,-0.012604,86.216,17.5,2.284
93,-4.4008,-1.4752,-0.001017,87.819,17.5,2.284
94,-3.7796,-1.4752,-0.001017,89.421,17.5,2.284
95,-3.469,-1.8257,-0.024191,91.024,17.5,2.284
96,-3.1584,-2.5267,-0.058951,92.627,17.5,2.284
97,-2.5373,-2.5267,-0.058951,94.23,17.5,2.284
98,-0.98438,-3.2277,-0.047364,95.833,17.5,2.284
99,2.432,-4.2793,-0.035777,97.435,17.5,2.284
100,3.6743,-4.6298,-0.035777,99.038,17.5,2.284
101,3.3637,-3.9287,-0.035777,100.64,17.5,2.284
102,3.6743,-1.8257,-0.058951,102.24,17.5,2.284
103,3.0531,-0.77419,-0.1053,103.85,17.5,2.284
104,-0.36322,-0.77419,-0.082124,105.45,17.5,2.284
105,-4.7113,-1.1247,-0.047364,107.05,17.5,2.284
106,-5.6431,-1.4752,-0.11688,108.66,17.5,2.284
107,-6.8854,-1.8257,-0.1053,110.26,17.5,2.284
108,-7.5065,-1.8257,-0.035777,111.86,17.5,2.284
109,-7.5065,-2.1762,-0.012604,113.46,17.5,2.284
110,-7.196,-2.1762,-0.024191,115.07,17.5,2.284
111,-7.196,-2.1762,-0.024191,116.67,17.5,2.284
112,-7.196,-2.1762,-0.001017,118.27,17.5,2.284
113,-6.2642,-2.5267,0.045329,119.87,17.5,2.284
114,-5.6431,-3.2277,0.10326,121.48,17.5,2.284
115,-5.3325,-3.9287,0.17278,123.08,17.5,2.284
116,-5.0219,-4.6298,0.2423,124.68,17.5,2.284
117,-4.4008,-3.2277,0.20754,126.29,17.5,2.284
118,-3.1584,0.27732,0.080089,127.89,17.5,2.284
119,-2.2267,2.3804,-0.035777,129.49,17.5,2.284
120,-1.6055,1.6793,-0.047364,131.09,17.5,2.284
121,-1.295,-0.42369,-0.024191,132.7,17.5,2.284
122,-0.6738,-1.4752,0.12644,134.3,17.5,2.284
123,-2.5373,0.27732,-0.29068,70.188,17.5,3.427
124,-2.2267,0.62783,-0.082124,71.791,17.5,3.427
125,-1.6055,0.62783,-0.082124,73.393,17.5,3.427
126,-1.295,0.62783,-0.082124,74.996,17.5,3.427
127,-1.295,0.62783,-0.070537,76.599,17.5,3.427
128,-1.295,0.62783,-0.058951,78.202,17.5,3.427
129,-0.98438,0.27732,-0.058951,79.805,17.5,3.427
130,-0.98438,-0.42369,-0.082124,81.407,17.5,3.427
131,-0.98438,-0.77419,-0.082124,83.01,17.5,3.427
132,-1.295,-0.77419,-0.058951,84.613,17.5,3.427
133,-1.6055,-0.77419,-0.024191,86.216,17.5,3.427
134,-1.6055,-1.1247,-0.024191,87.819,17.5,3.427
135,-2.2267,-0.77419,-0.012604,89.421,17.5,3.427
136,-2.2267,-1.1247,-0.047364,91.024,17.5,3.427
137,-2.5373,-1.1247,-0.082124,92.627,17.5,3.427
138,-2.2267,-1.1247,-0.082124,94.23,17.5,3.427
139,-0.98438,-1.8257,-0.058951,95.833,17.5,3.427
140,1.1897,-2.5267,-0.047364,97.435,17.5,3.427
141,2.7426,-2.8772,-0.058951,99.038,17.5,3.427
142,2.432,-2.5267,-0.058951,100.64,17.5,3.427
143,2.7426,-0.77419,-0.082124,102.24,17.5,3.427
144,1.5003,0.27732,-0.14006,103.85,17.5,3.427
145,-1.295,-0.073181,-0.11688,105.45,17.5,3.427
146,-6.2642,-0.42369,-0.093711,107.05,17.5,3.427
147,-7.5065,-0.42369,-0.16323,108.66,17.5,3.427
148,-9.0594,-1.1247,-0.14006,110.26,17.5,3.427
