fips,unemp
01001,5.3
01003,5.4
01005,8.6
01007,6.6
01009,5.5
01011,7.2
01013,7.1
01015,6.7
01017,5.5
01019,5.2
01021,5.6
01023,8.9
01025,11.1
01027,6.2
01029,6.1
01031,6.1
01033,7.0
01035,8.6
01037,6.1
01039,7.0
01041,6.0
01043,5.1
01045,5.9
01047,9.4
01049,6.2
01051,4.9
01053,6.7
01055,6.0
01057,7.0
01059,6.1
01061,5.9
01063,10.1
01065,7.8
01067,6.6
01069,5.9
01071,6.4
01073,5.9
01075,5.7
01077,6.4
01079,7.0
01081,5.3
01083,5.3
01085,10.8
01087,7.7
01089,5.2
01091,7.4
01093,6.7
01095,5.5
01097,6.9
01099,9.4
01101,5.9
01103,5.6
01105,10.6
01107,6.9
01109,6.4
01111,5.7
01113,5.6
01115,5.3
01117,4.4
01119,7.8
01121,6.8
01123,5.6
01125,5.8
01127,7.6
01129,8.7
01131,14.7
01133,7.3
02013,2.7
02016,3.3
02020,5.3
02050,14.1
02060,6.9
02068,8.6
02070,9.7
02090,5.7
02100,9.8
02105,11.5
02110,4.4
02122,8.2
02130,6.2
02150,5.0
02158,21.3
02164,12.3
02170,8.1
02180,12.5
02185,6.5
02188,15.7
02195,8.6
02198,11.7
02220,4.3
02230,10.6
02240,10.2
02261,8.2
02275,7.3
02282,8.1
02290,17.2
04001,11.3
04003,6.1
04005,5.9
04007,7.2
04009,6.7
04011,7.6
04012,6.0
04013,4.5
04015,6.6
04017,8.1
04019,4.9
04021,5.5
04023,9.9
04025,4.9
04027,18.6
05001,3.5
05003,6.3
05005,4.3
05007,2.9
05009,3.7
05011,5.2
05013,4.7
05015,3.6
05017,6.6
05019,4.5
05021,5.7
05023,6.0
05025,4.6
05027,5.8
05029,5.8
05031,3.3
05033,3.9
05035,4.6
05037,4.5
05039,5.0
05041,5.5
05043,5.8
05045,3.8
05047,4.1
05049,4.4
05051,4.3
05053,3.6
05055,4.3
05057,3.8
05059,4.0
05061,3.3
05063,5.0
05065,5.6
05067,6.2
05069,5.6
05071,4.8
05073,5.9
05075,4.4
05077,4.8
05079,4.9
05081,4.7
05083,4.6
05085,3.4
05087,3.2
05089,4.0
05091,4.2
05093,6.8
05095,4.9
05097,5.3
05099,3.7
05101,3.9
05103,5.1
05105,4.8
05107,5.9
05109,4.3
05111,4.3
05113,4.9
05115,4.6
05117,3.9
05119,3.6
05121,4.7
05123,5.2
05125,3.2
05127,3.8
05129,4.5
05131,3.7
05133,5.0
05135,5.5
05137,5.2
05139,5.5
05141,7.0
05143,2.7
05145,5.2
05147,5.5
05149,4.5
06001,4.2
06003,6.5
06005,5.9
06007,6.5
06009,5.6
06011,15.5
06013,4.4
06015,7.5
06017,5.1
06019,9.4
06021,8.2
06023,4.9
06025,23.5
06027,5.2
06029,10.3
06031,10.0
06033,6.6
06035,6.9
06037,5.2
06039,9.2
06041,3.2
06043,6.9
06045,5.2
06047,10.5
06049,7.8
06051,5.3
06053,7.6
06055,4.3
06057,4.7
06059,4.0
06061,4.4
06063,9.6
06065,6.1
06067,5.4
06069,6.8
06071,5.7
06073,4.7
06075,3.3
06077,8.1
06079,4.3
06081,3.0
06083,5.0
06085,3.8
06087,6.9
06089,6.9
06091,7.6
06093,8.5
06095,5.5
06097,4.0
06099,8.5
06101,9.6
06103,7.1
06105,7.1
06107,11.0
06109,6.2
06111,5.2
06113,5.8
06115,8.5
08001,3.6
08003,4.1
08005,3.1
08007,3.3
08009,1.7
08011,3.1
08013,2.7
08014,2.9
08015,2.7
08017,2.3
08019,3.2
08021,4.9
08023,4.9
08025,3.6
08027,3.2
08029,5.0
08031,3.1
08033,4.0
08035,2.7
08037,2.8
08039,2.7
08041,3.8
08043,5.3
08045,3.6
08047,2.4
08049,2.7
08051,2.3
08053,2.3
08055,6.4
08057,2.7
08059,3.0
08061,2.1
08063,2.1
08065,2.9
08067,2.9
08069,2.8
08071,5.2
08073,2.6
08075,3.0
08077,5.4
08079,2.2
08081,4.0
08083,5.0
08085,4.2
08087,3.5
08089,4.8
08091,3.8
08093,2.8
08095,2.0
08097,3.4
08099,3.3
08101,4.9
08103,5.1
08105,5.1
08107,2.7
08109,4.9
08111,3.8
08113,3.3
08115,2.4
08117,2.1
08119,3.8
08121,2.2
08123,3.4
08125,2.2
09001,4.8
09003,5.3
09005,4.6
09007,4.4
09009,5.5
09011,5.0
09013,4.4
09015,5.5
10001,4.7
10003,4.3
10005,4.4
11001,6.0
12001,4.3
12003,4.9
12005,4.9
12007,4.3
12009,5.2
12011,4.6
12013,5.7
12015,5.3
12017,6.8
12019,4.5
12021,4.8
12023,4.8
12027,5.2
12029,5.5
12031,5.0
12033,4.9
12035,5.5
12037,4.3
12039,6.3
12041,5.1
12043,6.2
12045,4.5
12047,5.6
12049,6.7
12051,9.1
12053,6.1
12055,6.6
12057,4.5
12059,5.4
12061,6.2
12063,5.3
12065,5.3
12067,4.1
12069,4.9
12071,4.6
12073,4.6
12075,5.2
12077,5.3
12079,5.3
12081,4.6
12083,5.8
12085,4.9
12086,5.4
12087,3.2
12089,4.6
12091,4.0
12093,5.4
12095,4.4
12097,5.0
12099,4.8
12101,5.2
12103,4.4
12105,5.6
12107,6.3
12109,3.7
12111,5.7
12113,4.5
12115,4.6
12117,4.3
12119,7.0
12121,4.9
12123,5.5
12125,4.4
12127,5.1
12129,4.1
12131,4.3
12133,5.2
13001,6.4
13003,5.2
13005,5.3
13007,7.7
13009,6.8
13011,4.9
13013,4.7
